الماركة,الموديل,سنة الصنع,رقم الشاسيه,سعر الشراء,الفرع,اللون,الفئة,رقم المحرك,رقم اللوحة,بلد المنشأ,كود الصنف,ملاحظات
Toyota,Corolla,2018,JTDBR32E060123401,615000,Downtown Showroom,أبيض,XLI,2ZR7734112,أ ب ج 4471,اليابان,EG-CORLA-18,فحص كامل بالمعرض
Hyundai,Accent,2017,KMHCT41DAHU123402,"470,000",Downtown Showroom,فضي,GL,G4LC118842,س ص ع 2210,كوريا الجنوبية,,
Nissan,Qashqai,2019,SJNFAAJ11U1123403,780000,Downtown Showroom,رمادي,Acenta,HR16DE77120,ر ط ك 8834,اليابان,EG-QASH-19,صيانة الوكيل منتظمة
Chevrolet,Optra,2016,,320000,Downtown Showroom,أزرق,LT,F16D3221904,ن هـ و 1173,مصر,,رقم الشاسيه غير واضح في الرخصة القديمة
Kia,Picanto,2020,KNABE511AGT123405,395000,فرع مصر الجديدة,أحمر,LX,G3LA229817,ب ج د 6620,كوريا الجنوبية,EG-PICAN-20,
Skoda,Octavia A7,2018,TMBJJ7NE5J0123406,690000,Downtown Showroom,أسود,Ambition,CJZ1180043,ل م ن 3392,التشيك,,
Renault,Logan,2015,VF1LSRAE5FC123407,285000,فرع مصر الجديدة,بيج,Authentique,K7M8811205,ع ف ق 5518,رومانيا,,مستعملة — تحتاج دهان الرفرف الأمامي
Mitsubishi,Lancer,٢٠١٤,,260000,Downtown Showroom,فضي,GLX,4A9122907,ي ط ص 9047,اليابان,,سنة الصنع مكتوبة بالأرقام العربية في الملف الأصلي
Toyota,Hilux,2021,MR0FZ29G5M0123409,"1,150,000 جنيه",Downtown Showroom,أبيض,Double Cab,2GD3390112,ح خ د 2286,تايلاند,EG-HILUX-21,ديزل — دبل كابينة
BYD,F3,2016,LGXC16AF5G0123410,245000,فرع مصر الجديدة,أخضر,GLX-i,BYD473QB0912,ز س ش 7715,الصين,,
Peugeot,301,2019,VF3DDBHY5JJ123411,520000,Downtown Showroom,رمادي,Allure,EB2M1183307,ت ث ج 4409,فرنسا,,
Fiat,Tipo,2020,ZFA35600006123412,560000,Downtown Showroom,أزرق,Easy,55282331,ك ل م 1802,تركيا,EG-TIPO-20,
Suzuki,Swift,2021,MMSZC53S5MR123413,480000,فرع مصر الجديدة,أبيض,GLX,K12M8827741,د ذ ر 6633,اليابان,,
Daewoo,Lanos,199,KLATF08Y5YB123414,180000,Downtown Showroom,أبيض,SX,A15SMS220814,ص ض ط 1140,مصر,,سنة الصنع ناقصة رقم في الملف الأصلي
